-6,4958 3,2128 6,4126 4,6233 5,6462 -6,8121 -,2128 -,9962 -6,6049 6,91478
4,1812 ,6992 6,9708 -3,7317 6,9329 6,8513 ,7663 1,4063 3,5846 4,1583 4,8022
3,5023 -1,0088 -3,4829 -6,1653 4,7297 ,93964 -1,6125 -6,8932 5,2235 ,2974
1,3983 4,8069 3,4064 -5,2276 -,7838 -6,4351 -,3302 -6,8936 -2,9192 1,5533
6,9964 -4,2858 3,3278 6,8713 -2,5762 6,5872 5,6337 6,9015 -3,6918 -1,8920
-1,6335 4,6558 -5,4002 -5,3881 5,1567 3,7956 4,3908 6,8489 -4,7503 ,3665
-,6048 -6,3569 -,3581 2,3507 -5,9437 -3,5870 -5,0263 1,5227 5,8064 -6,4698
-6,9970 -6,8174 -6,0495 4,3338 ,5523 6,8431 2,4134 1,2087 4,4452 -1,4185
-6,6389 -3,3283 6,0694 6,7353 -1,0336 -5,7398 5,9261 1,6044 6,2268 -6,5514
6,9872 1,7757 2,4802 4,0223 6,2534 -2,5425 -5,2708 -6,8457 -3,1187 -4,4780
1,8380 -6,6279 -5,9797 -4,6666 ,3158 6,4865 -1,8412 -6,5982 1,0637 -3,0354
-,4508 3,2918 6,8485 -2,8681 -5,5106 -1,3325 6,6448 5,4046 -4,3109 -,2962
-6,0544 6,9966 6,3592 -2,0217 4,5978 2,0081 -1,1009 4,3740 6,2112 -3,1385
-6,8322 -1,9073 -3,4573 -2,1565 2,9537 5,8174 -6,8686 3,9526 2,3547 2,6118
4,4712 4,1527 6,3337 -4,6969 6,2207 -2,3875 6,1092 -,7064 -6,7368 -2,4151
6,9008 -6,7931 4,1358 -,7002 -5,7949 -6,2555 -3,3260 -5,1499 -6,8809 -4,7037
-6,8508 -6,7177 3,6779 -6,4604 2,0654 -1,7532 -5,8498 -2,9121 6,1365 -6,8767
-2,4009 2,7739 3,3626 6,9995 3,02871 6,7829 6,4881 -3,7630 6,9989 -6,1840
1,1161 -1,7245 1,6625 -6,9997 -,3795 -1,0095 -5,0749 6,9488 6,9955 -6,9610
-,8843 3,9146 6,7433 -5,8038 -1,0098 1,6477 6,6252 1,4755 2,0284
