9,1855   1,1768
15,1438   1,5134
18,5874   1,6476
7,8421   -0,0507
16,0820   1,1268
18,5960   5,9114
12,4563   -1,1155
4,8375   2,9657
13,0538   6,0643
21,8118   -0,1289
17,2470   2,2070
10,5288   0,6106
16,3546   -0,2120
9,9507   1,1643
14,6776   2,4540
7,5949   3,1163
12,4947   -3,2697
15,8726   2,2159
15,5610   2,1784
18,0294   2,6831
15,7166   0,4170
16,1025   0,4540
11,5086   1,6245
14,0485   0,6120
21,5688   3,8140
13,8444   1,2875
15,5609   0,6774
15,5261   -1,2332
16,0565   0,3306
6,9194   3,5554
13,3825   1,9085
18,7557   1,2267
14,6858   1,4128
10,2080   0,6159
13,9337   2,3055
11,4179   1,4048
12,9391   1,0134
14,7581   2,8990
12,8107   0,7947
12,1543   2,2273
12,4243   1,7320
19,6883   -0,1471
15,2233   0,1634
16,6902   1,3714
6,2688   1,2232
10,1233   7,8439
16,1740   3,5097
15,4164   1,3203
14,0257   3,6727
10,3415   1,3645
11,3558   1,1746
13,2709   1,1194
17,2072   1,5933
7,6575   -5,3298
9,8929   1,6635
15,1900   3,0378
14,7462   1,5903
21,0815   0,8782
18,2367   1,2361
12,9717   2,9552
13,7699   -1,7224
20,2692   1,4859
18,4059   1,8685
13,9125   0,7952
10,3646   2,4229
18,1798   2,5800
9,0229   1,1040
18,5359   2,1855
7,3604   0,4793
18,0163   1,2819
